Date,Category,Description,Amount
1/7/2025,food,"mandazi, vegetables",50
1/7/2025,furniture,plastic chair,900
2/7/2025,furniture,wooden table deposit,1000
2/7/2025,food,vegetables,20
2/7/2025,water,fresh drinking,20
2/7/2025,airtime,bundles,50
3/7/2025,food,"snack, minji and potatoes",300
3/7/2025,shopping,tissue and salt bottle,405
4/7/2025,water,salty,10
4/7/2025,food,bill,525
4/7/2025,parents,token,1000
4/7/2025,rent,house,3000
4/7/2025,electricity,power,100
4/7/2025,airtime,bundles,25
4/7/2025,etica,investment,1705
4/7/2025,cable,laptop charger cable,200
5/7/2025,food,snack,80
5/7/2025,shopping,supermarket essentials,1375
5/7/2025,shopping,local market essentials,320
6/7/2025,water,salty,10
6/7/2025,airtime,bundles,40
6/7/2025,food,vegetables,30
7/7/2025,airtime,bundles,63
7/7/2025,jewelery,necklace and earings,400
7/7/2025,blanket,duvet,1650
7/7/2025,furniture,table remaining balance,1500
8/7/2025,water,fresh drinking,20
8/7/2025,food,vegetables,30
8/7/2025,airtime,bundles,30
8/7/2025,sister,school trip,1029
9/7/2025,airtime,bundles,60
9/7/2025,food,mandazi,30
9/7/2025,water,salty,10
10/7/2025,food,vegetables,30
11/7/2025,airtime,bundles,20
11/7/2025,gas cooker,gas refill,1000
12/7/2025,water,salty,20
13/7/2025,airtime,bundles,40
13/7/2025,food,vegetables,30
,,,
